timestamp_ist,rainfall_mm,rainfall_rate_mm_h,source_station,source_type,observation_classification,quality_flag,missing_flag,derivation_basis
2024-06-28T00:00:00+05:30,0.0,0.0,IMD Safdarjung Observatory (WMO 42182),SYNOPTIC_METAR_VERIFIED,VERIFIED_ZERO,OBSERVED_ZERO_VERIFIED,False,Pre-storm quiet period; zero precipitation confirmed by METAR and IMD synoptic log.
2024-06-28T01:00:00+05:30,0.0,0.0,IMD Safdarjung Observatory (WMO 42182),SYNOPTIC_METAR_VERIFIED,VERIFIED_ZERO,OBSERVED_ZERO_VERIFIED,False,Pre-storm quiet period; zero precipitation confirmed by METAR and IMD synoptic log.
2024-06-28T02:00:00+05:30,24.75,24.75,IMD Safdarjung Observatory (WMO 42182),DERIVED_FROM_AWS_3H_BLOCK,DERIVED_BLOCK_ALLOCATION,DERIVED SCENARIO — NOT OBSERVED HOURLY RAINFALL,False,Allocated from official 02:30-05:30 synoptic block (148.5 mm / 3h = 49.5 mm/h). Actual hourly AWS logger telemetry is unrecorded in open archives.
2024-06-28T03:00:00+05:30,49.5,49.5,IMD Safdarjung Observatory (WMO 42182),DERIVED_FROM_AWS_3H_BLOCK,DERIVED_BLOCK_ALLOCATION,DERIVED SCENARIO — NOT OBSERVED HOURLY RAINFALL,False,Allocated from official 02:30-05:30 synoptic block (148.5 mm / 3h = 49.5 mm/h). Actual hourly AWS logger telemetry is unrecorded in open archives.
2024-06-28T04:00:00+05:30,49.5,49.5,IMD Safdarjung Observatory (WMO 42182),DERIVED_FROM_AWS_3H_BLOCK,DERIVED_BLOCK_ALLOCATION,DERIVED SCENARIO — NOT OBSERVED HOURLY RAINFALL,False,Allocated from official 02:30-05:30 synoptic block (148.5 mm / 3h = 49.5 mm/h). Actual hourly AWS logger telemetry is unrecorded in open archives.
2024-06-28T05:00:00+05:30,91.0,91.0,IMD Safdarjung Observatory (WMO 42182),AWS_HOURLY_TELEMETRY,OBSERVED_DIRECT,OFFICIAL_OBSERVED_HOURLY_PEAK,False,Direct measured 1-hour AWS cloudburst published in IMD Press Release narrative and DG Briefing. Overlaps with 02:30-05:30 block.
2024-06-28T06:00:00+05:30,8.9,8.9,IMD Safdarjung Observatory (WMO 42182),DERIVED_FROM_SYNOPTIC_RESIDUAL,DERIVED_BLOCK_ALLOCATION,DERIVED SCENARIO — NOT OBSERVED HOURLY RAINFALL,False,Allocated from 05:30-08:30 residual block (79.6 mm total) minus the 05:30-06:00 peak portion. Line-item hourly telemetry unrecorded in open archives.
2024-06-28T07:00:00+05:30,4.45,4.45,IMD Safdarjung Observatory (WMO 42182),DERIVED_FROM_SYNOPTIC_RESIDUAL,DERIVED_BLOCK_ALLOCATION,DERIVED SCENARIO — NOT OBSERVED HOURLY RAINFALL,False,Allocated from 05:30-08:30 residual block (79.6 mm total) minus the 05:30-06:00 peak portion. Line-item hourly telemetry unrecorded in open archives.
2024-06-28T08:00:00+05:30,0.0,0.0,IMD Safdarjung Observatory (WMO 42182),SYNOPTIC_REPORT,VERIFIED_ZERO,OBSERVED_ZERO_VERIFIED,False,Post-storm cessation; IMD reported zero rain in South Delhi for remainder of 28 June.
2024-06-28T09:00:00+05:30,0.0,0.0,IMD Safdarjung Observatory (WMO 42182),SYNOPTIC_REPORT,VERIFIED_ZERO,OBSERVED_ZERO_VERIFIED,False,Post-storm cessation; IMD reported zero rain in South Delhi for remainder of 28 June.
